DataType,SortType,ArraySize,Threshold,Time_us
AlmostSorted,Hybrid,9500,30,77.4
AlmostSorted,Hybrid,9500,50,71.8
AlmostSorted,Hybrid,9500,100,60.4
Random,Standard,10000,0,605.6
Random,Hybrid,10000,5,417.6
Random,Hybrid,10000,10,374.2
Random,Hybrid,10000,20,348.4
Random,Hybrid,10000,30,379.6
Random,Hybrid,10000,50,326
Random,Hybrid,10000,100,307.8
Reversed,Standard,10000,0,278
Reversed,Hybrid,10000,5,130
Reversed,Hybrid,10000,10,107.8
Reversed,Hybrid,10000,20,102
Reversed,Hybrid,10000,30,111.4
Reversed,Hybrid,10000,50,117.2
Reversed,Hybrid,10000,100,167.2
AlmostSorted,Standard,10000,0,290.4
AlmostSorted,Hybrid,10000,5,129
AlmostSorted,Hybrid,10000,10,98.4
AlmostSorted,Hybrid,10000,20,83
AlmostSorted,Hybrid,10000,30,81.4
AlmostSorted,Hybrid,10000,50,72.4
AlmostSorted,Hybrid,10000,100,65
Random,Standard,10500,0,656.2
Random,Hybrid,10500,5,455.4
Random,Hybrid,10500,10,413.6
Random,Hybrid,10500,20,394.8
Random,Hybrid,10500,30,373.2
Random,Hybrid,10500,50,353.6
Random,Hybrid,10500,100,337.8
Reversed,Standard,10500,0,310.8
Reversed,Hybrid,10500,5,137
Reversed,Hybrid,10500,10,114.2
Reversed,Hybrid,10500,20,127.8
Reversed,Hybrid,10500,30,107
Reversed,Hybrid,10500,50,126.2
Reversed,Hybrid,10500,100,183.8
AlmostSorted,Standard,10500,0,304.4
AlmostSorted,Hybrid,10500,5,140
AlmostSorted,Hybrid,10500,10,113
AlmostSorted,Hybrid,10500,20,100.6
AlmostSorted,Hybrid,10500,30,87.6
AlmostSorted,Hybrid,10500,50,75.8
AlmostSorted,Hybrid,10500,100,67
Random,Standard,11000,0,677.4
Random,Hybrid,11000,5,593.8
Random,Hybrid,11000,10,448.6
Random,Hybrid,11000,20,418.6
Random,Hybrid,11000,30,391.2
Random,Hybrid,11000,50,363
Random,Hybrid,11000,100,379.2
Reversed,Standard,11000,0,310
Reversed,Hybrid,11000,5,157
Reversed,Hybrid,11000,10,136.6
Reversed,Hybrid,11000,20,157
Reversed,Hybrid,11000,30,131
Reversed,Hybrid,11000,50,134.2
Reversed,Hybrid,11000,100,201
AlmostSorted,Standard,11000,0,317.4
AlmostSorted,Hybrid,11000,5,153.2
AlmostSorted,Hybrid,11000,10,127
AlmostSorted,Hybrid,11000,20,111.4
AlmostSorted,Hybrid,11000,30,93.6
AlmostSorted,Hybrid,11000,50,77.8
AlmostSorted,Hybrid,11000,100,69.8
Random,Standard,11500,0,711.2
Random,Hybrid,11500,5,522.6
Random,Hybrid,11500,10,490.6
Random,Hybrid,11500,20,444.8
Random,Hybrid,11500,30,411.2
Random,Hybrid,11500,50,386
Random,Hybrid,11500,100,371.2
Reversed,Standard,11500,0,323.8
Reversed,Hybrid,11500,5,166.2
Reversed,Hybrid,11500,10,139.4
Reversed,Hybrid,11500,20,119.2
Reversed,Hybrid,11500,30,119.2
Reversed,Hybrid,11500,50,143
Reversed,Hybrid,11500,100,233.8
AlmostSorted,Standard,11500,0,338.6
AlmostSorted,Hybrid,11500,5,168.8
AlmostSorted,Hybrid,11500,10,139.6
AlmostSorted,Hybrid,11500,20,115
AlmostSorted,Hybrid,11500,30,94.8
AlmostSorted,Hybrid,11500,50,82.6
AlmostSorted,Hybrid,11500,100,73.6
Random,Standard,12000,0,753.8
Random,Hybrid,12000,5,570
Random,Hybrid,12000,10,538.2
Random,Hybrid,12000,20,577.4
Random,Hybrid,12000,30,433.2
Random,Hybrid,12000,50,405.4
Random,Hybrid,12000,100,424.4
Reversed,Standard,12000,0,342.6
Reversed,Hybrid,12000,5,185.2
Reversed,Hybrid,12000,10,151
